,Tweet_ID,Date,Tweet_Text,likes_count,retweet_counts,,Count
911,1.52488E+18,2022-05-12 22:36:38+00:00,"Even though I think a less divisive candidate would be better in 2024, I still think Trump should be restored to Twitter",594804,42972,,1
945,1.52365E+18,2022-05-09 13:20:21+00:00,"@Cernovich Like I said, my preference is to hew close to the laws of countries in which Twitter operates. If the citizens want something banned, then pass a law to do so, otherwise it should be allowed.",39243,4315,,1
946,1.52365E+18,2022-05-09 13:17:40+00:00,@Cernovich Twitter obv has a strong left wing bias,77330,10589,,1
972,1.52261E+18,2022-05-06 16:10:46+00:00,"I strongly believe that all managers in a technical area must be technically excellent. 

Managers in software must write great software or it’s like being a cavalry captain who can’t ride a horse!",273184,25826,,1
973,1.5226E+18,2022-05-06 15:47:54+00:00,@skorusARK We must be doing something right!,21282,862,,1
974,1.5226E+18,2022-05-06 15:45:23+00:00,@kevinmitnick Haha,4197,155,,1
979,1.5226E+18,2022-05-06 15:26:18+00:00,"@mayemusk This rumor originated from a parody account, but got picked up by real media &amp; twitter trends (sigh)",30246,1986,,1
981,1.5226E+18,2022-05-06 15:14:54+00:00,"If Twitter acquisition completes, company will be super focused on hardcore software engineering, design, infosec &amp; server hardware https://t.co/m2HseK0TXl",395958,36485,,1
982,1.52259E+18,2022-05-06 15:03:55+00:00,@WholeMarsBlog I’m a big believer in citizen journalism and following individual journalists over publications!,56872,5835,,1
983,1.52259E+18,2022-05-06 15:02:02+00:00,"@nypost This is false. I’ve had no communication, directly or indirectly, with Trump, who has publicly stated that he will be exclusively on Truth Social.",311291,23223,,1
984,1.52259E+18,2022-05-06 14:39:28+00:00,@mayemusk @newypost I didn’t ask anyone out or request particular seating,37109,2498,,1
988,1.52197E+18,2022-05-04 22:06:58+00:00,"@CathieDWood Passive/index investment is simply an amplifier of active investment. If active investment signal degrades in quality, passive is proportionately impacted.

Also, if there are very few actual active investors, their decisions can greatly increase company valuation volatility.",9634,808,,1
989,1.52195E+18,2022-05-04 20:32:01+00:00,Interesting. I wonder if those funding these organizations are fully aware of what the organizations are doing. https://t.co/YzVZIvF68E,156917,26984,,
997,1.52163E+18,2022-05-03 23:19:37+00:00,"Twitter will always be free for casual users, but maybe a slight cost for commercial/government users",423267,32777,,1
1005,1.52157E+18,2022-05-03 19:34:55+00:00,"Who funds these organizations that want to control your access to information? Let’s investigate …
https://t.co/dBFsGjOMC8",396446,56990,,1
1007,1.52154E+18,2022-05-03 17:33:50+00:00,@slashdot Literally 10 times higher than it should be,10401,614,,1
1008,1.52154E+18,2022-05-03 17:13:36+00:00,"@squawksquare Also, as mentioned before, we will try to keep as many shareholders as legally possible in privately held Twitter!",14738,853,,1
1009,1.52154E+18,2022-05-03 17:11:46+00:00,@slashdot Apple’s store is like having a 30% tax on the Internet. Definitely not ok.,37175,3096,,1
1015,1.52152E+18,2022-05-03 16:18:24+00:00,"@WholeMarsBlog That is why we must clear out bots, spam &amp; scams. Is something actually public opinion or just someone operating 100k fake accounts? Right now, you can’t tell.

And algorithms must be open source, with any human intervention clearly identified.

Then, trust will be deserved.",46749,7677,,1
1016,1.52152E+18,2022-05-03 16:14:07+00:00,@WholeMarsBlog There is so much potential with Twitter to be the most trusted &amp; broadly inclusive forum in the world!,70630,5734,,1
1017,1.52152E+18,2022-05-03 15:52:21+00:00,@PPathole 🤣,35468,832,,1
1018,1.52152E+18,2022-05-03 15:50:28+00:00,"@daelmor Yeah, kids starting with lots of money usually have much less motivation than those who have nothing. 

When we started our first company (Zip2) in 95, I had over $100k of student debt, a computer I built myself and a few thousand dollars.",105901,9777,,1
1019,1.52151E+18,2022-05-03 15:39:55+00:00,"@Kristennetten They will say anything to shift support away from me. Think of it as information war, not normal dialogue.",27458,2263,,1
1020,1.5215E+18,2022-05-03 14:35:26+00:00,@stats_feed Time to make life multiplanetary,84710,5040,,1
